city,neighbourhood_cleansed,population,housing_units,rent_median,rent_burden
chicago,Beverly,49796.0,18075.0,1225.0,36.9
chicago,Bridgeport,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Brighton Park,87395.0,26080.0,924.0,33.7
chicago,Calumet Heights,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Chatham,63481.0,28030.0,951.0,43.1
chicago,Chicago Lawn,107487.0,33175.0,938.0,41.3
chicago,Clearing,58960.0,20776.0,1102.0083740258556,28.400090009600767
chicago,Douglas,53085.0,24622.0,1179.0,28.6
chicago,Dunning,77520.0,27567.0,1151.0,29.2
chicago,East Garfield Park,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,East Side,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Edgewater,44972.0,21179.0,1136.0,29.599999999999998
chicago,Edison Park,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Englewood,26538.0,10783.0,895.0,51.7
chicago,Forest Glen,29326.0,10946.0,1145.0,33.1
chicago,Gage Park,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Garfield Ridge,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Grand Boulevard,34519.0,16925.0,809.0,45.3
chicago,Greater Grand Crossing,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Hegewisch,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Hermosa,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Humboldt Park,64638.0,20564.0,1116.0,36.2
chicago,Hyde Park,41767.0,21709.0,1276.0,41.4
chicago,Irving Park,95078.0,36855.0,1327.0,24.3
chicago,Jefferson Park,55591.0,21358.0,1193.0,24.5
chicago,Kenwood,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Lake View,72113.0,38263.0,1684.0,26.9
chicago,Lincoln Park,72119.0,33922.0,1811.0,24.7
chicago,Lincoln Square,80028.0,30888.0,1318.0,28.200000000000003
chicago,Logan Square,85564.0,36880.0,1459.0,25.0
chicago,Loop,21215.0,12900.0,2277.866726046664,26.1393779694057
chicago,Lower West Side,83691.0,27806.0,1071.012539760893,26.300177007469422
chicago,Mckinley Park,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Montclare,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Morgan Park,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Mount Greenwood,28751.0,10730.0,1183.0,26.5
chicago,Near North Side,98844.0,61343.0,2057.391968481288,25.78916076814032
chicago,Near South Side,32077.0,17467.0,2228.0,25.5
chicago,Near West Side,74979.0,33793.0,1689.0072268303868,36.668761329552176
chicago,New City,61861.0,22402.0,889.0,35.5
chicago,North Center,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,North Lawndale,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,North Park,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Norwood Park,59254.0,24660.0,1280.8734093900835,26.742211496270293
chicago,Oakland,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Ohare,29163.0,9687.0,1033.0385922274418,23.800679420228477
chicago,Portage Park,71003.0,24917.0,1121.0,27.9
chicago,Pullman,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Riverdale,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Rogers Park,50295.0,23272.0,1111.0,32.6
chicago,Roseland,64489.0,23198.0,1047.0,43.4
chicago,South Chicago,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,South Lawndale,77352.0,26225.0,943.0,37.3
chicago,South Shore,48973.0,23349.0,981.0,37.4
chicago,Uptown,121218.0,64855.0,1332.8559124882443,27.97035753765942
chicago,Washington Heights,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Washington Park,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,West Elsdon,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,West Englewood,30412.0,11391.0,981.0,51.3
chicago,West Garfield Park,36986.0,13204.0,1055.0,60.0
chicago,West Lawn,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,West Pullman,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,West Ridge,92314.0,30644.0,1246.999187555517,32.19994583703447
chicago,West Town,76024.0,35354.0,1784.200910238872,24.503196359044512
chicago,Woodlawn,49514.0,21450.0,1024.0,51.8
clark-county,Boulder City,14876.0,6164.0,1171.0285515302799,31.400155079729863
clark-county,City of Henderson,297930.0,115706.0,1457.6792436878138,30.07633728882923
clark-county,City of Las Vegas,550664.0,207527.0,1328.3129007637326,32.97891695369428
clark-county,City of Mesquite,20020.0,8523.0,1047.8457908373848,26.233413659412676
clark-county,City of North Las Vegas,256354.0,80378.0,1388.3596919304123,32.81954412231571
clark-county,Nellis AFB,538.0,1.0,1595.7325644423388,33.70696606144814
clark-county,Unincorporated Areas,1090817.0,398049.0,1328.8313490689661,31.987462693134834
columbus,Clintonville,46679.0,22243.0,1037.500503438377,27.51003020630262
columbus,Downtown,15321.0,10225.0,1342.0662443872964,26.00201213133906
columbus,Eastland/Brice,47633.0,19024.0,907.1496441542628,30.67585287510759
columbus,Eastmoor/Walnut Ridge,60734.0,25568.0,935.7228526453789,33.166402788653166
columbus,Far East,1.0,1.0,1595.7325644423388,33.70696606144814
columbus,Far North,6772.0,3554.0,1321.0,17.9
columbus,Far Northwest,1.0,1.0,1595.7325644423388,33.70696606144814
columbus,Far South,46038.0,18992.0,953.0,27.300000000000004
columbus,Far West,1.0,1.0,1595.7325644423388,33.70696606144814
columbus,Franklinton,4306.0,1660.0,651.6581973277582,43.39324684119468
columbus,Greenlawn/Frank Road,1.0,1.0,1595.7325644423388,33.70696606144814
columbus,Hayden Run,441.0,319.0,1595.7325644423388,33.70696606144814
columbus,Hilltop,43647.0,17589.0,994.0,31.0
columbus,Near East,21487.0,9537.0,822.2964583236376,35.53873039512263
columbus,Near North/University,46778.0,14304.0,1041.8241481038094,45.97811791867972
columbus,Near South,22488.0,11090.0,1061.0,23.7
columbus,North Linden,1.0,1.0,1595.7325644423388,33.70696606144814
columbus,Northeast,1.0,1.0,1595.7325644423388,33.70696606144814
columbus,Northland,55435.0,21939.0,926.0,27.8
