,city,neighborhood,coordinates
157,columbus,Eastmoor/Walnut Ridge,"(-82.91468626806643, 39.9597945)"
158,columbus,West Scioto,"(-83.10531328953488, 40.0115585)"
159,columbus,Rickenbacker,"(-82.99520640665013, 39.844556499999996)"
160,asheville,28806,"(-82.60667934150628, 35.5489485)"
161,asheville,28805,"(-82.48725332227782, 35.6192085)"
162,asheville,28804,"(-82.55847585281195, 35.6488545)"
163,asheville,28803,"(-82.51924925794177, 35.533042)"
164,asheville,28801,"(-82.55574091137565, 35.592708)"
165,asheville,28715,"(-82.71095305164958, 35.512071500000005)"
166,asheville,28704,"(-82.55279984422751, 35.465066)"
167,asheville,28732,"(-82.4482904645509, 35.456947)"
168,jersey-city,Ward E (councilmember James Solomon),"(-74.03632693794879, 40.722128999999995)"
169,jersey-city,Ward B (councilmember Mira Prinz-Arey),"(-74.08409284864547, 40.7249405)"
170,jersey-city,Ward F (councilmember Jermaine D. Robinson),"(-74.05274162190759, 40.7026975)"
171,jersey-city,Ward C (councilmember Richard Boggiano),"(-74.06076454812606, 40.733428)"
172,jersey-city,Ward A (councilmember Denise Ridley),"(-74.07911041048929, 40.690145)"
173,jersey-city,Ward D (councilmember Michael Yun),"(-74.05984008804492, 40.754554)"
174,seattle,Wallingford,"(-122.33233082816821, 47.6586565)"
175,seattle,West Queen Anne,"(-122.36657619198184, 47.634211500000006)"
176,seattle,Adams,"(-122.38728976210055, 47.668377)"
177,seattle,West Woodland,"(-122.36852630208219, 47.666162)"
178,seattle,East Queen Anne,"(-122.35021512936657, 47.6375845)"
179,seattle,North Queen Anne,"(-122.36485553448276, 47.6487515)"
180,seattle,Green Lake,"(-122.33304284375, 47.680028)"
181,seattle,Westlake,"(-122.34192390438247, 47.632537)"
182,seattle,Mann,"(-122.29948468887352, 47.612479)"
183,seattle,Madrona,"(-122.28869634034561, 47.612731)"
184,seattle,University District,"(-122.30618377326869, 47.661005)"
185,seattle,International District,"(-122.32130030885297, 47.5986015)"
186,seattle,Harrison/Denny-Blaine,"(-122.28881516455696, 47.624337)"
187,seattle,Minor,"(-122.30978001800688, 47.610312)"
188,seattle,Leschi,"(-122.29127932893999, 47.600185)"
189,seattle,Atlantic,"(-122.30209914310689, 47.5891805)"
190,seattle,Pike-Market,"(-122.34264049047374, 47.609655000000004)"
191,seattle,Eastlake,"(-122.32521676275992, 47.6436075)"
192,seattle,South Lake Union,"(-122.32984842575758, 47.629098)"
193,seattle,Lawton Park,"(-122.40963424113998, 47.659212499999995)"
194,seattle,Briarcliff,"(-122.4088478818603, 47.642279)"
195,seattle,Belltown,"(-122.34381259826031, 47.6143065)"
196,seattle,Central Business District,"(-122.33492859405942, 47.6092175)"
197,seattle,First Hill,"(-122.3239086412952, 47.609313)"
198,seattle,Yesler Terrace,"(-122.32178332928476, 47.603655)"
199,seattle,Pioneer Square,"(-122.33460021979434, 47.59876)"
200,seattle,Gatewood,"(-122.38259572526195, 47.5374815)"
201,seattle,Harbor Island,"(-122.35221870360982, 47.579861)"
202,seattle,Arbor Heights,"(-122.3790649117647, 47.506949500000005)"
203,seattle,Alki,"(-122.4119299467005, 47.576502500000004)"
204,seattle,North Admiral,"(-122.3877785629792, 47.581348)"
205,seattle,Crown Hill,"(-122.371433493824, 47.698085)"
206,seattle,Fairmount Park,"(-122.38159533971414, 47.557643)"
