population,housing_units,rent_median,rent_burden,neighbourhood_cleansed,city,_merge
26673.0,8099.0,822.0,36.3,District 6,dallas,both
40671.0,14009.0,987.0,28.3,District 6,dallas,both
870.0,229.0,1051.0,72.6,District 6,dallas,both
,,,,District 6,dallas,both
,,,,District 6,dallas,both
,,,,District 6,dallas,both
,,,,District 6,dallas,both
,,,,District 6,dallas,both
,,,,District 6,dallas,both
,,,,District 6,dallas,both
,,,,District 6,dallas,both
,,,,District 6,dallas,both
,,,,District 6,dallas,both
45676.0,19242.0,2266.0,35.0,University City,san-diego,both
,,,,University City,san-diego,both
,,,,78749,austin,both
35933.0,15372.0,1599.0,24.2,78749,austin,both
44733.0,17058.0,1042.0,32.2,28806,asheville,both
,,,,28806,asheville,both
,,,,28806,asheville,both
68777.0,31084.0,2838.0,26.4,Downtown Brooklyn,new-york-city,both
,,,,Downtown Brooklyn,new-york-city,both
,,,,Downtown Brooklyn,new-york-city,both
19542.0,10391.0,1980.0,32.4,Pasadena,los-angeles,both
,,,,Pasadena,los-angeles,both
26909.0,8480.0,1690.0,44.6,Pasadena,los-angeles,both
37619.0,13421.0,1737.0,33.6,Pasadena,los-angeles,both
12888.0,5463.0,2663.0,32.9,Pasadena,los-angeles,both
23589.0,10442.0,1885.0,32.2,Pasadena,los-angeles,both
33148.0,12753.0,1984.0,28.8,Pasadena,los-angeles,both
,,,,Pasadena,los-angeles,both
,,,,Pasadena,los-angeles,both
,,,,Pasadena,los-angeles,both
,,,,Pasadena,los-angeles,both
,,,,Pasadena,los-angeles,both
,,,,Pasadena,los-angeles,both
,,,,Pasadena,los-angeles,both
,,,,Pasadena,los-angeles,both
,,,,Pasadena,los-angeles,both
925.0,0.0,,,Pasadena,los-angeles,both
,,,,Pasadena,los-angeles,both
,,,,Pasadena,los-angeles,both
,,,,Pasadena,los-angeles,both
,,,,Pasadena,los-angeles,both
,,,,Pasadena,los-angeles,both
,,,,Pasadena,los-angeles,both
,,,,Pasadena,los-angeles,both
55195.0,20681.0,1899.0,30.3,North Clairemont,san-diego,both
,,,,North Clairemont,san-diego,both
,,,,North Clairemont,san-diego,both
24311.0,11668.0,1921.0,26.1,"Georgetown, Burleith/Hillandale",washington-dc,both
3914.0,0.0,,,"Georgetown, Burleith/Hillandale",washington-dc,both
,,,,"Georgetown, Burleith/Hillandale",washington-dc,both
,,,,"Georgetown, Burleith/Hillandale",washington-dc,both
1685.0,1270.0,2551.0,24.7,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
13444.0,8802.0,1961.0,27.3,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
0.0,0.0,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
